58859.748073 105318
Tag ID ALLCutRate ALLOccupancy UnitOccupancy CutRate Occupancy dt_peak dt_mean qa_max
0 34 0 0 0 1607.0 0.0177 1.50 8.89 0.850
0 35 0 0 0 1246.2 0.0133 -0.50 4.95 0.950
0 36 0 0 0 1310.3 0.0166 -0.50 6.25 0.750
0 37 0 0 0 1424.3 0.0177 -1.50 5.41 0.650
0 38 0 0 0 1341.2 0.0152 -0.50 6.83 0.850
0 39 0 0 0 1246.2 0.0152 -0.50 6.31 0.750
0 40 0 0 0 1326.9 0.0169 0.50 6.30 0.750
0 41 0 0 0 1440.9 0.0175 0.50 6.43 0.950
0 42 0 0 0 1350.7 0.0150 -0.50 6.47 0.650
0 43 0 0 0 1220.1 0.0152 0.50 6.09 0.750
0 44 0 0 0 1281.8 0.0119 -0.50 5.03 0.750
0 45 0 0 0 1210.6 0.0124 -0.50 5.75 0.850
0 46 0 0 0 1576.2 0.0148 -0.50 6.37 0.750
0 47 0 0 0 1353.0 0.0158 -0.50 6.30 0.750
0 48 0 0 0 1246.2 0.0163 -0.50 6.19 0.750
0 49 0 0 0 1265.2 0.0161 -0.50 6.15 0.850
0 50 0 0 0 1405.3 0.0152 -0.50 6.42 0.650
0 51 0 0 0 1315.1 0.0142 0.50 5.90 0.650
0 52 0 0 0 1524.0 0.0149 0.50 6.67 0.650
0 53 0 0 0 1376.8 0.0142 0.50 6.36 0.750
0 54 0 0 0 1203.5 0.0168 -0.50 7.07 0.650
0 55 0 0 0 1343.6 0.0172 0.50 5.88 0.750
0 56 0 0 0 1270.0 0.0158 -0.50 6.66 0.750
0 57 0 0 0 1253.3 0.0145 -0.50 6.70 0.750
0 58 0 0 0 1170.3 0.0152 0.50 6.22 0.750
0 59 0 0 0 1336.4 0.0114 -1.50 5.48 0.750
0 60 0 0 0 1172.6 0.0169 0.50 5.48 0.750
0 61 0 0 0 1369.7 0.0138 0.50 6.11 0.650
0 62 0 0 0 1198.8 0.0155 0.50 6.30 0.950
0 63 0 0 0 1357.8 0.0165 0.50 5.84 0.650
0 64 0 0 0 1272.3 0.0140 -0.50 5.68 0.850
0 65 0 0 0 1113.3 0.0132 0.50 6.13 0.750
0 66 0 0 0 1369.7 0.0160 -0.50 6.02 0.650
0 67 0 0 0 1208.2 0.0152 0.50 5.66 0.850
0 68 0 0 0 1262.8 0.0140 -0.50 7.28 0.750
0 69 0 0 0 1324.6 0.0179 -1.50 6.30 0.750
0 70 0 0 0 1253.3 0.0172 -0.50 6.29 0.750
0 71 0 0 0 1255.7 0.0128 -0.50 5.81 0.650
0 72 0 0 0 1369.7 0.0168 -0.50 5.91 0.750
0 73 0 0 0 1270.0 0.0162 0.50 5.52 0.750
0 74 0 0 0 1345.9 0.0179 0.50 6.60 0.650
0 75 0 0 0 1317.4 0.0178 1.50 6.11 0.650
0 76 0 0 0 1307.9 0.0171 0.50 6.58 0.650
0 77 0 0 0 1367.3 0.0124 0.50 4.38 0.650
0 78 0 0 0 1315.1 0.0177 -0.50 5.75 0.650
0 79 0 0 0 1203.5 0.0130 -0.50 6.71 0.750
0 80 0 0 0 1303.2 0.0156 -0.50 6.51 0.550
0 81 0 0 0 1253.3 0.0134 -0.50 6.13 0.750
0 82 0 0 0 1127.5 0.0169 -0.50 6.66 0.850
0 83 0 0 0 1322.2 0.0156 -0.50 5.65 0.650
0 84 0 0 0 1457.5 0.0121 0.50 5.28 0.750
0 85 0 0 0 1315.1 0.0156 -0.50 6.36 0.850
0 86 0 0 0 1253.3 0.0107 -0.50 5.81 0.750
0 87 0 0 0 1289.0 0.0137 -0.50 5.03 0.750
0 88 0 0 0 1243.9 0.0154 -0.50 5.73 0.750
0 89 0 0 0 1108.5 0.0127 -0.50 6.28 0.750
0 90 0 0 0 1343.6 0.0094 -0.50 5.81 0.850
0 91 0 0 0 1248.6 0.0147 -0.50 5.40 0.750
0 92 0 0 0 1293.7 0.0089 -0.50 5.36 0.850
0 93 0 0 0 1220.1 0.0099 0.50 5.09 0.850
0 94 0 0 0 1293.7 0.0157 -0.50 6.21 0.850
0 95 0 0 0 1277.1 0.0150 -0.50 6.43 0.650
0 96 0 0 0 1410.0 0.0167 -0.50 5.59 0.750
0 97 0 0 0 1194.0 0.0109 -0.50 6.63 0.750
